"id","title","test case id","author","assignee","actual result","status","milestone","severity","external issues","attachments","tags"
"18","Checking product sorting from the dropdown list","8","Małgorzata Lach","Małgorzata Lach","not working","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/10deac9b871e8357531ab714906a81de78f7e4ed/Sorting.mp4",""
"17","Validaton form fields negative tests (special characters)","7","Małgorzata Lach","Małgorzata Lach","No communication, special character is accepted as a name, last name and postcode","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/1dc298b93c38794f924ad17b3b889c31796c7db9/form%20field%20special1.mp4",""
"16","Validaton form fields negative tests (space characters)","6","Małgorzata Lach","Małgorzata Lach","No communication, space character is accepted as a name, last name and postcode","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/4b4c9d5df994d03be541e7cd2d7729b4828ed2f6/space%20character%20acceptation.mp4",""
"15","Checking operation CHECKOUT button. Validation of the form fields (positive)","5","Małgorzata Lach","Małgorzata Lach","Summary of payment is incorrectly","Open","","Critical","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/62812b8206b29a40cb775eb3f4c818c21e117a58/Summary%20incorrectly.png",""
"14","Checking the operation of function ""Reset App State""","11","Małgorzata Lach","Małgorzata Lach","The buttons near the product after using function ""Reset App State"" have still name ""Remove""","Open","","Normal","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/7fc7606033a96a1308906bcb9f873d77fd42a845/Reset%20App%20State.mp4",""
"13","Remove products form the cart (on the details of product view)","29","Małgorzata Lach","Małgorzata Lach","Remove the products from the cart is impossible at the details of the product page (using button REMOVE near the product)","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/6cd6f7dba8323f92b1bcb115d2b434772be7012a/remove%20products2.mp4",""
"12","Remove products form the cart (on the home page view)","3","Małgorzata Lach","Małgorzata Lach","Remove the products from the cart is impossible at the home page (using button REMOVE near the product)","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/1fb60f0c66b81b691a42fdd1b65121efdc0f887f/remove%20products.mp4",""
"11","View added products to the cart on the home page vs products added to the cart","30","Małgorzata Lach","Małgorzata Lach","Not all addet products are in the cart","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/61d4e502e68e563fea6676397db3bec3aee838fb/hoe%20page%20view%20added.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/fdfcbb69d2a9cbf46fbef824a47cd326587caa16/cart%20page%20view%20added.png",""
"10","Add products to cart from the product details page","10","Małgorzata Lach","Małgorzata Lach","User can not add all products to the cart","Open","","Not set","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/867220c0cfdb6169bc43965bc93f94ba997c5a65/add%20to%20cart%20details%20products.mp4",""
"9","Add products to cart from the home page","1","Małgorzata Lach","Małgorzata Lach","Products are incorretly added to the cart from the home page","Open","","Not set","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/b682c84e56edd6ebf2635aa9c3d7ebb6deb30a95/add%20to%20cart.mp4",""
"8","Details of products","26","Małgorzata Lach","Małgorzata Lach","Details of products are other than on the home page","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/0d59876bfbe9f361cf76904998ef8934ade2f6a7/name%20of%20prod%20on%20detail%20page%20product%20nr%202.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/18d59a44b47a218fb25de4c7e9578f480ffb0673/name%20of%20prod%20on%20detail%20page%20product%20nr%201.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/356c9c542ef6eeec1e978b8667b972f64df878f9/name%20of%20prod%20on%20detail%20page%20product%20nr%205.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/4ea97fc0fbbc7fb0461edd063a3237c9fea5d172/name%20of%20prod%20on%20detail%20page%20product%20nr%203.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/780659cb3712cae28871d852e3685076efe5b8b3/name%20of%20prod%20on%20detail%20page%20product%20nr%206.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/dea0630c34d4de828c357cb06a9b4d4ba4a13cb2/name%20of%20prod%20on%20detail%20page%20product%20nr%204.png",""
"7","The name of products","12","Małgorzata Lach","Małgorzata Lach","The name of red jumper is incorrect; look like a code;","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/e610fd8ec38e0f0490cc2c59209a245c00e5cbc1/names%20of%20prod%20on%20home%20page.png",""
"6","Authorization - view of the home page","25","Małgorzata Lach","Małgorzata Lach","View on the home page is incorrect","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/2ef34970cf4efd6fc6f2c30cba8e5a69a77392bc/view%20the%20%20home%20page.png",""
"5","Validaton form fields negative (space characters)","6","Małgorzata Lach","Małgorzata Lach","Form fields to final shopping accepts space characters as name, last name and post code.","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/ffce0f5efd6b9bafd6724324ae77ac697e3f5d1f/space%20character%20acceptation.mp4",""
"4","The name of products","12","Małgorzata Lach","Małgorzata Lach","The name of the red T-shirt is incorrect.","Open","","Normal","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/71cf6012b5663feaab6cfcad725ab727018ce33d/Red%20T-shirt.png",""
"3","Checking the operation of function ""Reset App State""","11","Małgorzata Lach","Małgorzata Lach","Function ""Reset App State"" clear the cart, but not return the name of button near the products ""Remove"" to ""Add to cart""","Open","","Normal","","",""
"2","Validaton checkot fields negative special characters","7","Małgorzata Lach","Małgorzata Lach","Form fields accepted special character in NAME and POST CODE","Open","","Normal","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/1952c03c5696c0b2067c567bd0a7086b100a4068/attachment/e1c1fc93d5c922415b57605619890a7fdcee4aad/special%20character%20acceptation.mp4",""
